start_station_id,end_station_id,start_time,end_time
363,363,2021-05-01T06:17:24,2021-05-01T06:48:07
363,47,2021-05-01T08:26:29,2021-05-01T08:29:24
911,47,2021-05-01T08:39:50,2021-05-01T08:48:29
47,363,2021-05-01T08:45:26,2021-05-01T08:50:08
47,47,2021-05-01T09:22:11,2021-05-01T09:22:47
47,47,2021-05-01T09:25:22,2021-05-01T09:26:12
379,359,2021-05-01T09:33:49,2021-05-01T09:38:20
363,359,2021-05-01T09:40:01,2021-05-01T09:49:06
533,532,2021-05-01T09:42:28,2021-05-01T10:23:56
363,363,2021-05-01T09:45:58,2021-05-01T09:47:38
47,379,2021-05-01T09:47:54,2021-05-01T09:50:36
378,911,2021-05-01T09:54:59,2021-05-01T09:59:44
47,379,2021-05-01T09:56:42,2021-05-01T09:59:52
363,47,2021-05-01T10:31:00,2021-05-01T10:32:15
363,359,2021-05-01T10:37:03,2021-05-01T10:41:09
363,363,2021-05-01T10:57:37,2021-05-01T10:58:55
47,47,2021-05-01T11:01:36,2021-05-01T11:03:14
363,363,2021-05-01T11:03:59,2021-05-01T11:12:26
911,466,2021-05-01T11:33:32,2021-05-01T11:38:50
462,462,2021-05-01T11:44:18,2021-05-01T11:44:28
363,359,2021-05-01T11:56:37,2021-05-01T12:03:21
533,533,2021-05-01T12:02:48,2021-05-01T12:30:10
359,532,2021-05-01T12:02:49,2021-05-01T12:06:57
359,911,2021-05-01T12:12:19,2021-05-01T12:16:49
363,363,2021-05-01T12:14:19,2021-05-01T12:14:35
363,47,2021-05-01T12:15:00,2021-05-01T12:17:18
462,533,2021-05-01T12:18:30,2021-05-01T12:21:14
359,363,2021-05-01T12:35:14,2021-05-01T12:44:16
47,359,2021-05-01T12:55:16,2021-05-01T13:03:39
47,359,2021-05-01T12:55:19,2021-05-01T13:03:51
359,359,2021-05-01T12:55:51,2021-05-01T13:19:09
47,359,2021-05-01T12:55:57,2021-05-01T13:03:41
47,359,2021-05-01T12:56:28,2021-05-01T13:03:29
359,533,2021-05-01T13:01:38,2021-05-01T13:08:40
359,533,2021-05-01T13:02:29,2021-05-01T13:08:46
359,533,2021-05-01T13:03:26,2021-05-01T13:09:08
359,533,2021-05-01T13:05:01,2021-05-01T13:14:29
462,532,2021-05-01T13:08:41,2021-05-01T13:11:12
47,532,2021-05-01T13:38:59,2021-05-01T13:57:36
47,532,2021-05-01T13:39:07,2021-05-01T13:57:21
462,466,2021-05-01T13:53:03,2021-05-01T13:54:21
363,532,2021-05-01T13:53:17,2021-05-01T14:03:08
47,532,2021-05-01T14:03:33,2021-05-01T14:24:14
47,532,2021-05-01T14:03:33,2021-05-01T14:24:17
359,532,2021-05-01T14:03:54,2021-05-01T14:10:37
359,462,2021-05-01T14:04:46,2021-05-01T14:12:06
359,462,2021-05-01T14:05:19,2021-05-01T14:12:07
911,532,2021-05-01T14:21:49,2021-05-01T15:12:09
532,359,2021-05-01T14:28:34,2021-05-01T14:39:29
533,532,2021-05-01T15:04:50,2021-05-01T15:46:12
359,47,2021-05-01T15:06:46,2021-05-01T15:11:31
533,532,2021-05-01T15:06:53,2021-05-01T15:46:20
47,47,2021-05-01T15:09:32,2021-05-01T15:09:41
378,378,2021-05-01T15:14:43,2021-05-01T15:44:04
47,359,2021-05-01T15:16:45,2021-05-01T15:23:23
532,47,2021-05-01T15:18:27,2021-05-01T15:28:36
359,533,2021-05-01T15:26:36,2021-05-01T15:32:22
359,533,2021-05-01T15:26:49,2021-05-01T15:32:36
359,359,2021-05-01T15:35:10,2021-05-01T15:35:46
359,533,2021-05-01T15:46:24,2021-05-01T15:52:49
359,533,2021-05-01T15:46:29,2021-05-01T15:52:48
533,533,2021-05-01T15:54:38,2021-05-01T15:54:42
462,532,2021-05-01T15:55:48,2021-05-01T15:58:58
47,47,2021-05-01T15:59:18,2021-05-01T16:02:15
378,532,2021-05-01T16:12:44,2021-05-01T16:21:47
379,47,2021-05-01T16:14:29,2021-05-01T16:19:09
533,533,2021-05-01T16:18:26,2021-05-01T16:18:48
47,466,2021-05-01T16:27:59,2021-05-01T16:35:41
47,47,2021-05-01T16:28:05,2021-05-01T16:55:16
47,379,2021-05-01T16:31:38,2021-05-01T16:41:24
47,47,2021-05-01T16:31:54,2021-05-01T16:54:33
359,359,2021-05-01T16:52:42,2021-05-01T16:56:06
359,359,2021-05-01T16:53:12,2021-05-01T16:55:52
359,359,2021-05-01T16:53:30,2021-05-01T16:55:46
533,462,2021-05-01T16:53:42,2021-05-01T17:08:32
532,359,2021-05-01T17:05:23,2021-05-01T17:15:14
47,47,2021-05-01T17:26:30,2021-05-01T17:27:55
360,363,2021-05-01T17:29:47,2021-05-01T17:50:36
360,360,2021-05-01T17:31:16,2021-05-01T17:32:22
379,533,2021-05-01T17:31:17,2021-05-01T17:42:46
462,532,2021-05-01T17:32:48,2021-05-01T17:35:16
360,363,2021-05-01T17:35:45,2021-05-01T17:44:18
532,532,2021-05-01T17:53:53,2021-05-01T18:14:19
359,533,2021-05-01T17:57:27,2021-05-01T18:27:39
47,47,2021-05-01T18:08:28,2021-05-01T18:09:21
363,359,2021-05-01T18:09:15,2021-05-01T18:14:26
533,462,2021-05-01T18:14:24,2021-05-01T18:24:06
47,47,2021-05-01T18:25:41,2021-05-01T18:25:55
47,533,2021-05-01T18:26:22,2021-05-01T18:41:20
911,911,2021-05-01T18:27:38,2021-05-01T18:29:09
379,47,2021-05-01T18:42:13,2021-05-01T19:22:34
378,359,2021-05-01T19:02:01,2021-05-01T19:04:35
364,364,2021-05-01T19:09:28,2021-05-01T19:35:26
911,911,2021-05-01T19:09:38,2021-05-01T19:30:38
532,379,2021-05-01T19:16:39,2021-05-01T19:31:52
466,533,2021-05-01T19:30:02,2021-05-01T19:36:39
359,363,2021-05-01T19:36:37,2021-05-01T19:41:07
359,911,2021-05-01T19:40:59,2021-05-01T19:59:15
359,47,2021-05-01T20:00:09,2021-05-01T20:05:14
378,363,2021-05-01T21:05:21,2021-05-01T21:19:37
363,363,2021-05-01T21:07:09,2021-05-01T21:17:35
359,359,2021-05-01T21:49:29,2021-05-01T22:03:03
47,47,2021-05-01T21:55:58,2021-05-01T22:27:45
359,359,2021-05-01T22:07:23,2021-05-01T22:19:38
363,47,2021-05-01T22:32:36,2021-05-01T22:34:00
379,359,2021-05-02T09:47:43,2021-05-02T09:50:45
378,363,2021-05-02T10:09:17,2021-05-02T10:10:22
359,359,2021-05-02T10:43:02,2021-05-02T11:56:35
359,359,2021-05-02T10:43:22,2021-05-02T11:56:21
379,359,2021-05-02T10:56:29,2021-05-02T11:01:37
359,533,2021-05-02T11:02:07,2021-05-02T11:08:11
359,533,2021-05-02T11:02:49,2021-05-02T11:09:51
379,379,2021-05-02T11:36:20,2021-05-02T11:39:36
359,379,2021-05-02T11:42:09,2021-05-02T11:46:59
532,533,2021-05-02T11:57:23,2021-05-02T12:04:39
359,363,2021-05-02T12:01:36,2021-05-02T12:03:35
378,378,2021-05-02T13:19:26,2021-05-02T13:49:27
359,911,2021-05-02T13:21:16,2021-05-02T13:26:25
359,533,2021-05-02T13:24:55,2021-05-02T13:37:08
532,532,2021-05-02T13:43:04,2021-05-02T14:46:33
359,911,2021-05-02T13:45:42,2021-05-02T13:54:03
378,378,2021-05-02T13:49:41,2021-05-02T14:11:57
359,532,2021-05-02T14:01:48,2021-05-02T14:13:01
532,533,2021-05-02T14:19:58,2021-05-02T14:50:52
532,532,2021-05-02T14:20:08,2021-05-02T14:49:15
532,532,2021-05-02T14:22:48,2021-05-02T14:49:52
359,47,2021-05-02T14:26:05,2021-05-02T14:40:41
47,47,2021-05-02T14:36:35,2021-05-02T14:37:19
379,462,2021-05-02T14:37:31,2021-05-02T14:46:02
47,462,2021-05-02T14:37:46,2021-05-02T14:58:28
532,363,2021-05-02T15:15:11,2021-05-02T15:25:56
359,466,2021-05-02T15:21:38,2021-05-02T15:25:46
359,359,2021-05-02T15:29:12,2021-05-02T15:31:26
379,379,2021-05-02T15:32:26,2021-05-02T15:33:39
379,379,2021-05-02T15:35:10,2021-05-02T15:35:43
359,47,2021-05-02T15:36:25,2021-05-02T15:41:13
364,47,2021-05-02T15:36:52,2021-05-02T15:47:18
47,47,2021-05-02T15:38:09,2021-05-02T15:39:24
378,462,2021-05-02T15:39:14,2021-05-02T16:00:38
360,379,2021-05-02T15:42:36,2021-05-02T15:45:11
378,47,2021-05-02T15:53:34,2021-05-02T15:55:52
462,359,2021-05-02T15:57:49,2021-05-02T16:04:44
47,466,2021-05-02T15:58:03,2021-05-02T16:05:55
47,359,2021-05-02T16:10:20,2021-05-02T16:15:47
47,364,2021-05-02T16:13:56,2021-05-02T16:26:07
360,462,2021-05-02T16:18:39,2021-05-02T16:29:26
462,462,2021-05-02T16:34:01,2021-05-02T16:34:18
532,532,2021-05-02T16:42:12,2021-05-02T16:42:20
360,360,2021-05-02T16:47:49,2021-05-02T16:48:22
359,532,2021-05-02T16:49:34,2021-05-02T16:59:15
359,532,2021-05-02T16:49:52,2021-05-02T16:59:28
532,532,2021-05-02T16:51:06,2021-05-02T17:25:21
532,532,2021-05-02T16:51:23,2021-05-02T17:25:22
532,359,2021-05-02T16:53:20,2021-05-02T17:00:09
466,47,2021-05-02T17:02:01,2021-05-02T17:12:20
466,47,2021-05-02T17:02:35,2021-05-02T17:12:32
359,379,2021-05-02T17:13:40,2021-05-02T17:17:40
466,911,2021-05-02T17:22:19,2021-05-02T17:31:16
911,911,2021-05-02T17:40:16,2021-05-02T17:42:04
532,532,2021-05-02T17:40:49,2021-05-02T17:40:52
532,532,2021-05-02T17:42:05,2021-05-02T17:42:08
911,911,2021-05-02T17:44:56,2021-05-02T19:46:36
911,911,2021-05-02T17:47:24,2021-05-02T19:46:37
532,532,2021-05-02T17:48:59,2021-05-02T18:03:02
379,379,2021-05-02T17:52:02,2021-05-02T17:52:38
462,360,2021-05-02T17:54:17,2021-05-02T18:35:56
532,532,2021-05-02T17:55:00,2021-05-02T18:00:09
47,360,2021-05-02T18:01:12,2021-05-02T18:08:06
47,363,2021-05-02T18:02:10,2021-05-02T18:07:56
364,364,2021-05-02T18:10:28,2021-05-02T18:10:42
378,359,2021-05-02T18:18:20,2021-05-02T18:24:12
466,462,2021-05-02T18:20:18,2021-05-02T18:23:05
462,911,2021-05-02T18:24:40,2021-05-02T18:35:32
533,911,2021-05-02T18:27:29,2021-05-02T18:31:33
359,47,2021-05-02T18:48:49,2021-05-02T19:14:42
359,47,2021-05-02T18:49:36,2021-05-02T19:14:29
532,360,2021-05-02T18:55:44,2021-05-02T19:03:31
379,379,2021-05-02T18:59:41,2021-05-02T19:00:26
359,379,2021-05-02T19:03:21,2021-05-02T19:08:17
532,532,2021-05-02T19:08:43,2021-05-02T19:17:16
532,532,2021-05-02T19:09:11,2021-05-02T19:17:13
378,378,2021-05-02T19:09:19,2021-05-02T20:13:44
378,378,2021-05-02T19:10:07,2021-05-02T20:13:43
379,379,2021-05-02T19:44:35,2021-05-02T19:45:24
363,47,2021-05-02T19:45:51,2021-05-02T19:47:36
47,359,2021-05-02T19:50:06,2021-05-02T19:57:47
911,359,2021-05-02T19:53:58,2021-05-02T20:01:46
532,462,2021-05-02T20:04:18,2021-05-02T20:07:27
466,911,2021-05-02T20:30:05,2021-05-02T20:39:01
359,466,2021-05-02T20:30:44,2021-05-02T20:58:40
363,363,2021-05-02T21:15:51,2021-05-02T21:30:10
359,363,2021-05-02T21:19:17,2021-05-02T21:23:02
359,363,2021-05-02T21:34:24,2021-05-02T21:38:03
359,359,2021-05-02T22:08:38,2021-05-02T22:16:00
359,359,2021-05-02T23:35:30,2021-05-02T23:39:18
379,379,2021-05-03T09:58:10,2021-05-03T09:58:28
379,462,2021-05-03T10:45:35,2021-05-03T10:54:54
532,532,2021-05-03T11:04:04,2021-05-03T12:14:21
359,533,2021-05-03T11:23:50,2021-05-03T11:30:34
378,363,2021-05-03T11:55:06,2021-05-03T11:56:34
363,47,2021-05-03T12:07:30,2021-05-03T12:10:05
466,466,2021-05-03T12:49:32,2021-05-03T13:03:14
364,363,2021-05-03T12:56:55,2021-05-03T12:59:19
47,363,2021-05-03T13:06:19,2021-05-03T13:18:06
379,378,2021-05-03T13:34:01,2021-05-03T13:44:36
47,379,2021-05-03T14:00:09,2021-05-03T14:16:50
911,378,2021-05-03T14:10:56,2021-05-03T14:21:54
359,359,2021-05-03T14:25:20,2021-05-03T14:28:22
359,533,2021-05-03T14:56:00,2021-05-03T15:07:49
359,47,2021-05-03T15:08:43,2021-05-03T15:12:46
359,378,2021-05-03T15:31:23,2021-05-03T15:33:33
378,47,2021-05-03T15:58:35,2021-05-03T16:00:44
462,911,2021-05-03T16:35:27,2021-05-03T16:38:40
363,363,2021-05-03T16:43:04,2021-05-03T17:09:28
364,47,2021-05-03T16:44:06,2021-05-03T16:49:19
379,911,2021-05-03T16:50:03,2021-05-03T17:05:02
462,462,2021-05-03T16:52:28,2021-05-03T17:08:22
911,462,2021-05-03T17:12:38,2021-05-03T17:14:43
47,359,2021-05-03T17:22:00,2021-05-03T17:30:11
359,533,2021-05-03T17:37:45,2021-05-03T17:42:03
363,533,2021-05-03T17:38:12,2021-05-03T18:22:24
360,462,2021-05-03T17:41:20,2021-05-03T17:46:47
363,363,2021-05-03T18:10:33,2021-05-03T18:27:14
47,47,2021-05-03T18:13:39,2021-05-03T18:36:31
364,359,2021-05-03T18:46:36,2021-05-03T19:14:12
47,462,2021-05-03T18:46:37,2021-05-03T19:08:07
363,378,2021-05-03T18:47:25,2021-05-03T19:00:02
911,532,2021-05-03T18:51:23,2021-05-03T19:00:45
47,47,2021-05-03T19:05:48,2021-05-03T19:32:33
533,359,2021-05-03T19:06:01,2021-05-03T19:11:14
